,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CEC Plant ID,Plant Name,EIA Plant ID,Resource ID,Resource ID Name,Energy Source Category,City,County,State
E0042,Mesquite Lake Resource Recovery Project - Retired Dec 2008,50363,,,BIOGAS/BIOMASS,Imperial,Imperial,CA
E0043,J R Wood Incorporated - Retired December 2004,10780,,,BIOGAS/BIOMASS,Atwater,Merced,CA
E0048,Samoa Pulp Mill (Closed) - Retired December 2008,10074,LAPAC_6_UNIT,LOUISIANA PACIFIC SAMOA,BIOGAS/BIOMASS,Samoa,Humboldt,CA
E0050,Madera Power (offline 3/28/2012 - repowered 2013),,CAPMAD_1_UNIT 1,CAPCO MADERA Power Plant,BIOGAS/BIOMASS,Firebaugh,Madera,CA
E0051,Wheelabrator Martell Inc - Retired December 2003,50950,,,BIOGAS/BIOMASS,Sutter Creek,Amador,CA
E0052,Covanta Mendota LP,10837,MENBIO_6_UNIT,MENDOTA BIOMASS POWER,BIOGAS/BIOMASS,Mendota,Fresno,CA
E0054,MM San Diego LLC - Miramar Landfill,55094,MSHGTS_6_MMARLF,MIRAMAR LANDFILL,BIOGAS/BIOMASS,San Diego,San Diego,CA
E0055,Monterey Regional Water Pollution Control Cogen,54951,CSTRVL_7_MRWMD,,BIOGAS/BIOMASS,Marina,Monterey,CA
E0055,Monterey Regional Water Pollution Control Cogen,54951,CSTRVL_7_QFUNTS,Castroville QF Aggregate,BIOGAS/BIOMASS,Marina,Monterey,CA
E0056,Mount  Lassen Power (Retired 2011),54468,MTNLAS_6_UNIT,,BIOGAS/BIOMASS,Westwood,Lassen,CA
E0061,Otay 1 & 2 Power Station,52204,OTAY_6_LNDFL5,Otay 5,BIOGAS/BIOMASS,Chula Vista,San Diego,CA
E0061,Otay 1 & 2 Power Station,52204,OTAY_6_LNDFL6,Otay 6,BIOGAS/BIOMASS,Chula Vista,San Diego,CA
E0061,Otay 1 & 2 Power Station,52204,OTAY_6_UNITB1,OTAY LANDFILL UNITS AGGREGATE,BIOGAS/BIOMASS,Chula Vista,San Diego,CA
E0063,Scotia,50049,PACLUM_6_UNIT,Humboldt Redwood,BIOGAS/BIOMASS,Scotia,Humboldt,CA
E0064,Pacific Oroville Power Inc (Retired 10/20/2012),54469,PACORO_6_UNIT,,BIOGAS/BIOMASS,Oroville,Butte,CA
E0071,Ameresco Vasco Road LLC,58435,CAYTNO_2_VASCO,Vasco Road,BIOGAS/BIOMASS,Livermore,Alameda,CA
E0075,San Marcos,10386,SMRCOS_6_LNDFIL,San Marcos Energy,BIOGAS/BIOMASS,San Marcos,San Diego,CA
E0075,San Marcos,10386,SMRCOS_6_UNIT 1,San Marcos Energy,BIOGAS/BIOMASS,San Marcos,San Diego,CA
E0078,SPI - Burney,50110,SPBURN_2_UNIT 1,Burney Biomass,BIOGAS/BIOMASS,Burney,Shasta,CA
E0081,SPI - Quincy,50112,SPQUIN_6_SRPCQU,Quincy Biomass,BIOGAS/BIOMASS,Quincy,Plumas,CA
E0082,SPI - Susanville - Shut Down 2004,50113,SPSUSN_6_UNIT,,BIOGAS/BIOMASS,Susanville,Lassen,CA
E0084,SPI - Loyalton - Shut Down 08/20/2010,50111,,,BIOGAS/BIOMASS,Loyalton,Sierra,CA
E0086,Wheelabrator Shasta,50881,WSENGY_1_UNIT 1,Wheelabrator Shasta,BIOGAS/BIOMASS,Anderson,Shasta,CA
E0088,Humboldt Pulp Mill - Retired Dec 2003,50301,PACLUM_6_UNIT,Humboldt Redwood,BIOGAS/BIOMASS,Eureka,Humboldt,CA
E0089,Soledad Energy - Retired Jan 2006,,,,BIOGAS/BIOMASS,Soledad,Monterey,CA
E0094,Sycamore Landfill San Diego,10387,CHILLS_1_SYCENG,Sycamore Energy 1,BIOGAS/BIOMASS,Santee,San Diego,CA
E0094,Sycamore Landfill San Diego,10387,CHILLS_1_SYCLFL,,BIOGAS/BIOMASS,Santee,San Diego,CA
E0094,Sycamore Landfill San Diego,10387,CHILLS_7_UNITA1,Sycamore Energy 2,BIOGAS/BIOMASS,Santee,San Diego,CA
E0095,MM Tajiguas Energy LLC,55603,GOLETA_6_TAJIGS,GOLETA_6_TAJIGS,BIOGAS/BIOMASS,Gaviota,Santa Barbara,CA
E0096,Tracy Biomass Plant,10502,THMENG_1_UNIT 1,Tracy Biomass,BIOGAS/BIOMASS,Tracy,San Joaquin,CA
E0097,Blue Lake,10764,BLULKE_6_BLUELK,Blue Lake Power,BIOGAS/BIOMASS,Blue Lake,Humboldt,CA
E0098,Rio Bravo Fresno,10767,ULTPFR_1_UNIT 1,Rio Bravo Fresno,BIOGAS/BIOMASS,Fresno,Fresno,CA
E0099,Rio Bravo Rocklin,10772,ULTRCK_2_UNIT,Rio Bravo Rocklin,BIOGAS/BIOMASS,Lincoln,Placer,CA
E0100,Pacific Ultrapower Chinese,50560,ULTPCH_1_UNIT 1,Pacific Ultrapower Chinese Station,BIOGAS/BIOMASS,Jamestown,Tuolumne,CA
E0101,MM Tulare Energy LLC,55160,RECTOR_7_TULARE,MM Tulare ,BIOGAS/BIOMASS,Visalia,Tulare,CA
E0102,Wadham,50293,WADHAM_6_UNIT,Wadham Energy LP,BIOGAS/BIOMASS,Williams,Colusa,CA
E0105,Woodland Biomass Power Ltd,10836,BIOMAS_1_UNIT 1,WOODLAND BIOMASS,BIOGAS/BIOMASS,Woodland,Yolo,CA
E0106,Altamont Gas Recovery,50571,USWND4_2_UNIT2,Altamont Landfill Gas to Energy,BIOGAS/BIOMASS,Livermore,Alameda,CA
E0109,Brea Power Partners LP,10648,OLINDA_7_LNDFIL,OLINDA_7_LNDFIL,BIOGAS/BIOMASS,Brea,Orange,CA
E0110,Southeast Digester Gas Cogen Plant,57971,,,BIOGAS/BIOMASS,San Francisco,San Francisco,CA
E0112,Southeast Resource Recovery,50837,HINSON_6_SERRGN,CITY OF LONG BEACH,BIOGAS/BIOMASS,Long Beach,Los Angeles,CA
E0113,Commerce Refuse To Energy,10090,LAGBEL_2_STG1,Bell Bandini Commerce Refuse,BIOGAS/BIOMASS,Commerce,Los Angeles,CA
E0113,Commerce Refuse To Energy,10090,LAGBEL_6_QF,LAGUNA BELL QFS,BIOGAS/BIOMASS,Commerce,Los Angeles,CA
E0117,Coyote Canyon (Retired Dec 28 2015),10395,SANTGO_6_COYOTE,,BIOGAS/BIOMASS,Irvine,Orange,CA
E0118,American Canyon Power Plant (Retired 2013),10392,HIWAY_7_ACANYN,,BIOGAS/BIOMASS,American Canyon,Napa,CA
E0120,Guadalupe Power Plant (Retired 2013),10390,HICKS_7_GUADLP,,BIOGAS/BIOMASS,San Jose,Santa Clara,CA
E0122,Newby Island II (Retired 2010),10389,,,BIOGAS/BIOMASS,San Jose,Santa Clara,CA
E0123,Marsh Road Power Plant (Retired 2013),10391,BLHVN_7_MENLOP,,BIOGAS/BIOMASS,Menlo Park,San Mateo,CA
E0125,Oxnard - Closed December 2009,52206,SNCLRA_6_QF,SANTA CLARA QFS,BIOGAS/BIOMASS,Oxnard,Ventura,CA
