State,TypeCode,CECPlantID,EIAPlantID,Unit,LastOfCapacity,Aging,OTC,Peaker,PMCC,NewCombinedCycleUnit,CombinedCycle,StartDate,MaxOfRetireDate,PrimeMoverID,PrimeMoverDesc,PriEnergySource,Description
CA,E,E0048,10074,GEN1,20,0,0,0,0,0,0,5/1/1965 0:00,12/31/2008 0:00,ST,Steam Turbine,BLQ,Black Liquor
CA,E,E0050,Missing,1,25,0,0,0,0,0,0,6/1/2001 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0051,50950,Unit 1,18,0,0,0,0,0,0,3/1/1986 0:00,12/1/2003 0:00,ST,Steam Turbine,OGW,"Other gases, waste products"
CA,E,E0052,10837,1,28,0,0,0,0,0,0,7/1/1989 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0054,55094,UNT1-4,6.52,0,0,0,0,0,0,7/1/1997 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0055,54951,2,0.58,0,0,0,0,0,0,1/1/1991 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0055,54951,3,0.58,0,0,0,0,0,0,1/1/1991 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0055,54951,Unit 1,0.58,0,0,0,0,0,0,1/1/1991 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0056,54468,GEN 1,11.4,0,0,0,0,0,0,6/1/1985 0:00,10/21/2011 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0061,52204,1,1.87,0,0,0,0,0,0,12/1/1986 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0061,52204,2,1.87,0,0,0,0,0,0,12/1/1986 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0063,50049,#3,7.5,0,0,0,0,0,0,1/1/1938 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0063,50049,Gen A,12.5,0,0,0,0,0,0,3/1/1988 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0063,50049,Gen B,12.5,0,0,0,0,0,0,1/1/1989 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
